nombre_modelo,dim_latente,arquitectura,epocas_max,learning_rate,convergio,epocas_reales,mse,precision,parametros
tp3_WideReLU_L10_lat9_ep10000_lr0_001,9,WideReLU_L10,10000,0.001,False,535,0.1231068773757978,81.60714285714286,3124
tp3_BalancedAE_lat9_ep10000_lr0_001,9,BalancedAE,10000,0.001,False,598,0.1270931675459773,82.67857142857142,3024
tp3_WideTanhAE_lat9_ep8000_lr0_00075,9,WideTanhAE,8000,0.00075,False,635,0.12815056762541177,81.16071428571429,3452
tp3_DeepBalancedAE_lat9_ep8000_lr0_001,9,DeepBalancedAE,8000,0.001,False,544,0.13000528517789348,82.32142857142857,4184
tp3_BalancedAE_lat9_ep8000_lr0_001,9,BalancedAE,8000,0.001,False,599,0.13189481947739062,80.625,3024
tp3_WideReLU_L10_lat9_ep8000_lr0_00075,9,WideReLU_L10,8000,0.00075,False,558,0.1356422300202718,80.08928571428572,3124
tp3_BalancedAE_L9_lat9_ep8000_lr0_0005,9,BalancedAE_L9,8000,0.0005,False,689,0.13580599827036477,82.05357142857143,3074
tp3_DeepBalancedAE_lat9_ep8000_lr0_00075,9,DeepBalancedAE,8000,0.00075,False,530,0.14028148299528553,81.69642857142857,4184
tp3_WideReLU_L10_lat9_ep10000_lr0_0005,9,WideReLU_L10,10000,0.0005,False,609,0.14322463028537952,78.03571428571429,3124
tp3_DeepReLU_L8_lat9_ep8000_lr0_001,9,DeepReLU_L8,8000,0.001,False,574,0.14427292894067975,77.58928571428572,4184
tp3_DeepReLU_L8_lat9_ep8000_lr0_0005,9,DeepReLU_L8,8000,0.0005,False,621,0.14712246097577242,77.58928571428572,4184
tp3_BalancedAE_lat9_ep8000_lr0_00075,9,BalancedAE,8000,0.00075,False,554,0.14888801614539401,79.375,3024
tp3_WideReLU_L10_lat9_ep10000_lr0_00075,9,WideReLU_L10,10000,0.00075,False,597,0.14945488330174936,77.05357142857143,3124
tp3_DeepReLU_L8_lat9_ep10000_lr0_001,9,DeepReLU_L8,10000,0.001,False,540,0.1496052493918417,76.875,4184
